application_id,continent,applicant_country,visa_type,processing_center,application_date,biometrics_date,biometrics_delay_days,decision_date,processing_days,document_verification_delay,employer,employer_size,salary_usd,applicant_age,education_level,has_job_experience,full_time_flag,case_status,fraud_risk_score,sponsor_country
APP000001,South America,Brazil,H1B,Paris Consulate,31-01-2021,10-02-2021,10,11-06-2021,131,6,EduWorld,132,46378,38,High School,N,N,Approved,0.136,Brazil
APP000002,Europe,Germany,F1,Paris Consulate,24-02-2019,08-03-2019,12,06-05-2019,71,2,FinServ,1043,7859,26,Diploma,Y,Y,Approved,0.143,Germany
APP000003,South America,Brazil,Business,New York Consulate,11-05-2018,03-06-2018,23,15-05-2018,4,0,N/A,0,0,44,Bachelor's,Y,Y,Approved,0.204,N/A
APP000004,Asia,India,B1/B2,Hyderabad Consulate,01-09-2023,17-09-2023,16,21-10-2023,50,7,N/A,0,0,42,High School,Y,Y,Approved,0.161,N/A
APP000005,Oceania,Australia,Tourist,Hyderabad Consulate,15-04-2025,03-05-2025,18,07-06-2025,53,6,GlobalHire,130,21075,43,Master's,Y,Y,Approved,0.267,Australia
APP000006,South America,Colombia,B1/B2,Toronto Consulate,10-08-2024,18-08-2024,8,02-09-2024,23,3,BuildIt,267,26678,38,Master's,Y,N,Approved,0.177,Colombia
APP000007,North America,USA,F1,Paris Consulate,28-09-2022,04-10-2022,6,02-02-2023,127,1,InfoCorp,97,15212,22,Bachelor's,N,Y,Approved,0.104,USA
APP000008,North America,Canada,F1,Hyderabad Consulate,10-10-2021,21-10-2021,11,22-01-2022,104,11,BuildIt,1284,16859,19,Diploma,Y,N,Denied,0.155,Canada
APP000009,Asia,India,Student (Other),Mumbai Consulate,10-01-2022,10-01-2022,0,14-04-2022,94,6,InfoCorp,634,9169,17,Bachelor's,N,N,Approved,0.16,India
APP000010,North America,Mexico,J1,Dubai Consulate,27-06-2018,30-06-2018,3,07-08-2018,41,1,InfoCorp,261,23822,34,PhD,Y,N,Approved,0.283,Mexico
APP000011,South America,Colombia,Tourist,Mumbai Consulate,31-03-2022,31-03-2022,0,12-04-2022,12,1,FinServ,167,20615,44,High School,Y,N,Approved,0.241,Colombia
APP000012,Asia,Bangladesh,J1,San Francisco Consulate,18-01-2025,29-01-2025,11,15-02-2025,28,0,N/A,0,0,27,Master's,N,Y,Approved,0.224,N/A
APP000013,Oceania,New Zealand,Business,Hyderabad Consulate,12-10-2018,29-10-2018,17,30-11-2018,49,11,InfoCorp,95,29525,26,Master's,N,N,Approved,0.177,New Zealand
APP000014,Asia,UAE,B1/B2,Dubai Consulate,31-03-2021,06-04-2021,6,04-04-2021,4,1,FinServ,119,25876,46,Bachelor's,N,N,Approved,0.249,UAE
APP000015,Asia,Philippines,B1/B2,San Francisco Consulate,18-02-2019,11-03-2019,21,24-03-2019,34,4,N/A,0,0,32,Master's,Y,Y,Approved,0.189,N/A
