application_id,continent,processing_center,application_date,biometrics_date,biometrics_delay_days,decision_date,processing_days,document_verification_delay,employer,employer_size,salary_usd,applicant_age,education_level,has_job_experience,full_time_flag,case_status,fraud_risk_score,sponsor_country,applicant_country_Argentina,applicant_country_Australia,applicant_country_Bangladesh,applicant_country_Brazil,applicant_country_Canada,applicant_country_Chile,applicant_country_China,applicant_country_Colombia,applicant_country_Egypt,applicant_country_France,applicant_country_Germany,applicant_country_Ghana,applicant_country_India,applicant_country_Italy,applicant_country_Japan,applicant_country_Kenya,applicant_country_Mexico,applicant_country_Netherlands,applicant_country_New Zealand,applicant_country_Nigeria,applicant_country_Pakistan,applicant_country_Philippines,applicant_country_Poland,applicant_country_South Africa,applicant_country_Spain,applicant_country_UAE,applicant_country_UK,applicant_country_USA,visa_type_B1/B2,visa_type_Business,visa_type_F1,visa_type_Family,visa_type_H1B,visa_type_H4,visa_type_J1,visa_type_L1,visa_type_Student (Other),visa_type_Tourist,visa_type_Work (Other)
APP000001,South America,Paris Consulate,2021-01-31,10-02-2021,10,2021-06-11,131,6,EduWorld,132,46378,38,High School,N,N,Approved,0.136,Brazil,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
APP000002,Europe,Paris Consulate,2019-02-24,08-03-2019,12,2019-05-06,71,2,FinServ,1043,7859,26,Diploma,Y,Y,Approved,0.143,Germany,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
APP000003,South America,New York Consulate,2018-05-11,03-06-2018,23,2018-05-15,4,0,FinServ,0,0,44,Bachelor's,Y,Y,Approved,0.204,New Zealand,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
APP000004,Asia,Hyderabad Consulate,2023-09-01,17-09-2023,16,2023-10-21,50,7,FinServ,0,0,42,High School,Y,Y,Approved,0.161,New Zealand,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
APP000005,Oceania,Hyderabad Consulate,2025-04-15,03-05-2025,18,2025-06-07,53,6,GlobalHire,130,21075,43,Master's,Y,Y,Approved,0.267,Australia,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
APP000006,South America,Toronto Consulate,2024-08-10,18-08-2024,8,2024-09-02,23,3,BuildIt,267,26678,38,Master's,Y,N,Approved,0.177,Colombia,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
APP000007,North America,Paris Consulate,2022-09-28,04-10-2022,6,2023-02-02,127,1,InfoCorp,97,15212,22,Bachelor's,N,Y,Approved,0.104,USA,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
APP000008,North America,Hyderabad Consulate,2021-10-10,21-10-2021,11,2022-01-22,104,11,BuildIt,1284,16859,19,Diploma,Y,N,Denied,0.155,Canada,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
APP000009,Asia,Mumbai Consulate,2022-01-10,10-01-2022,0,2022-04-14,94,6,InfoCorp,634,9169,17,Bachelor's,N,N,Approved,0.16,India,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
APP000010,North America,Dubai Consulate,2018-06-27,30-06-2018,3,2018-08-07,41,1,InfoCorp,261,23822,34,PhD,Y,N,Approved,0.283,Mexico,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
